Loan ID,Rating,EAD,Maturity,Sector,Country,Secured,PD,LGD
L00414,BBB,912779.5,5,Finance,Italy,Yes,0.005,0.45
L00415,BB,369577.48,10,Real Estate,USA,Yes,0.018,0.45
L00416,BBB,227971.56,6,Real Estate,USA,No,0.005,0.75
L00417,A,359786.98,7,Retail,Italy,Yes,0.002,0.45
L00418,A,503903.6,4,Retail,Brazil,No,0.002,0.75
L00419,BB,273244.02,1,Retail,France,No,0.018,0.75
L00420,BB,274148.32,8,Real Estate,France,Yes,0.018,0.45
L00421,BB,525388.85,10,Healthcare,UK,Yes,0.018,0.45
L00422,BB,431781.01,4,Manufacturing,Brazil,Yes,0.018,0.45
L00423,AA,449728.12,3,Healthcare,Germany,Yes,0.0006,0.45
L00424,BBB,302777.15,7,Retail,China,No,0.005,0.75
L00425,AA,394273.32,2,Energy,USA,No,0.0006,0.75
L00426,BBB,278697.83,8,Healthcare,UK,Yes,0.005,0.45
L00427,BBB,690450.25,6,Manufacturing,Italy,Yes,0.005,0.45
L00428,B,742386.05,7,Energy,Brazil,Yes,0.05,0.45
L00429,BBB,175765.51,5,Manufacturing,USA,Yes,0.005,0.45
L00430,AA,277963.36,9,Retail,Germany,Yes,0.0006,0.45
L00431,AA,209344.26,5,Healthcare,Germany,Yes,0.0006,0.45
L00432,BB,319651.95,5,Finance,France,No,0.018,0.75
L00433,BB,424336.06,3,Transport,UK,Yes,0.018,0.45
L00434,AA,214309.69,1,Retail,Italy,Yes,0.0006,0.45
L00435,AA,279028.75,2,Real Estate,USA,No,0.0006,0.75
L00436,BB,267806.86,8,Finance,China,Yes,0.018,0.45
L00437,AA,490722.3,1,Real Estate,Germany,Yes,0.0006,0.45
L00438,B,458021.85,7,Manufacturing,USA,Yes,0.05,0.45
L00439,BB,308393.31,5,Real Estate,Italy,Yes,0.018,0.45
L00440,AA,483308.5,3,Finance,USA,No,0.0006,0.75
L00441,AA,336603.16,7,Finance,UK,No,0.0006,0.75
L00442,CCC,386223.87,9,Retail,France,No,0.2,0.75
L00443,BBB,1021442.14,2,Energy,USA,No,0.005,0.75
L00444,BBB,864780.09,8,Retail,Brazil,Yes,0.005,0.45
L00445,B,231008.41,9,Manufacturing,France,No,0.05,0.75
L00446,B,669888.27,3,Real Estate,Italy,No,0.05,0.75
L00447,CCC,663774.84,2,Energy,France,Yes,0.2,0.45
L00448,BB,249164.44,7,Healthcare,USA,Yes,0.018,0.45
L00449,BBB,666229.06,5,Transport,USA,Yes,0.005,0.45
L00450,AA,954521.99,5,Finance,Brazil,Yes,0.0006,0.45
L00451,BB,252389.19,10,Energy,Germany,Yes,0.018,0.45
L00452,BBB,279637.27,5,Healthcare,Brazil,No,0.005,0.75
L00453,BBB,735886.18,4,Energy,USA,No,0.005,0.75
L00454,B,506737.12,5,Retail,China,Yes,0.05,0.45
L00455,AA,582880.89,4,Healthcare,France,Yes,0.0006,0.45
L00456,BBB,524549.25,6,Transport,Brazil,No,0.005,0.75
L00457,AAA,537856.98,4,Finance,Brazil,No,0.0003,0.75
L00458,BBB,227923.18,2,Manufacturing,China,Yes,0.005,0.45
L00459,AA,746879.29,9,Manufacturing,China,No,0.0006,0.75
L00460,AA,793965.27,2,Energy,China,No,0.0006,0.75
L00461,AA,394472.47,9,Healthcare,Germany,No,0.0006,0.75
L00462,BB,432899.78,10,Energy,USA,Yes,0.018,0.45
L00463,BB,205755.99,6,Real Estate,USA,Yes,0.018,0.45
L00464,BBB,572133.35,9,Transport,Italy,No,0.005,0.75
L00465,CCC,588910.04,9,Finance,Germany,Yes,0.2,0.45
L00466,BBB,428868.01,3,Energy,Italy,No,0.005,0.75
L00467,A,776208.68,1,Real Estate,Italy,Yes,0.002,0.45
L00468,B,374355.58,1,Healthcare,Italy,Yes,0.05,0.45
L00469,A,586719.99,3,Transport,UK,Yes,0.002,0.45
L00470,CCC,265711.88,5,Finance,Italy,Yes,0.2,0.45
L00471,AAA,437234.05,3,Manufacturing,Brazil,No,0.0003,0.75
L00472,CCC,405478.39,9,Real Estate,France,Yes,0.2,0.45
L00473,AAA,495168.78,9,Healthcare,Brazil,No,0.0003,0.75
L00474,B,367778.65,3,Transport,Brazil,No,0.05,0.75
L00475,BBB,414266.06,3,Real Estate,USA,Yes,0.005,0.45
L00476,CCC,668655.05,5,Energy,UK,No,0.2,0.75
L00477,AA,355619.95,2,Retail,Italy,Yes,0.0006,0.45
L00478,BBB,198136.5,6,Manufacturing,USA,No,0.005,0.75
L00479,CCC,1061073.78,7,Energy,Germany,Yes,0.2,0.45
L00480,BBB,882687.97,9,Energy,Germany,Yes,0.005,0.45
L00481,BB,231855.28,6,Healthcare,USA,Yes,0.018,0.45
L00482,BB,624591.99,3,Healthcare,France,No,0.018,0.75
L00483,BBB,344039.8,5,Transport,USA,No,0.005,0.75
L00484,BB,504712.18,4,Healthcare,USA,Yes,0.018,0.45
L00485,BBB,512528.74,5,Real Estate,UK,Yes,0.005,0.45
L00486,B,393484.16,8,Manufacturing,Germany,Yes,0.05,0.45
L00487,AAA,298975.58,8,Energy,Germany,No,0.0003,0.75
L00488,A,313241.42,6,Transport,Italy,Yes,0.002,0.45
L00489,CCC,279820.62,1,Manufacturing,Brazil,No,0.2,0.75
L00490,B,291877.33,8,Healthcare,USA,Yes,0.05,0.45
L00491,BBB,427799.91,8,Healthcare,USA,Yes,0.005,0.45
L00492,BB,309316.41,2,Real Estate,France,No,0.018,0.75
L00493,A,622205.71,4,Healthcare,China,No,0.002,0.75
L00494,A,930635.6,2,Energy,China,No,0.002,0.75
L00495,BBB,331033.01,4,Finance,Germany,Yes,0.005,0.45
L00496,BBB,498671.21,10,Energy,France,No,0.005,0.75
L00497,BBB,567980.61,7,Energy,UK,Yes,0.005,0.45
L00498,AA,560173.11,9,Healthcare,Italy,No,0.0006,0.75
L00499,CCC,459538.33,8,Manufacturing,France,Yes,0.2,0.45
L00500,CCC,641356.8,9,Healthcare,Germany,Yes,0.2,0.45
L00501,BB,563050.43,8,Manufacturing,UK,Yes,0.018,0.45
L00502,BBB,238272.15,2,Manufacturing,USA,Yes,0.005,0.45
L00503,A,683223.99,7,Manufacturing,UK,Yes,0.002,0.45
L00504,B,689447.22,2,Transport,Brazil,No,0.05,0.75
L00505,BB,302052.75,2,Retail,France,No,0.018,0.75
L00506,A,450885.6,4,Healthcare,Germany,No,0.002,0.75
L00507,B,622603.09,1,Transport,France,Yes,0.05,0.45
L00508,B,398452.31,5,Energy,USA,Yes,0.05,0.45
L00509,B,756523.61,6,Transport,China,No,0.05,0.75
L00510,BB,1442569.2,9,Real Estate,USA,Yes,0.018,0.45
L00511,BB,298643.84,10,Finance,Germany,Yes,0.018,0.45
L00512,BBB,221788.1,8,Manufacturing,Brazil,No,0.005,0.75
L00513,B,514993.37,2,Healthcare,Italy,Yes,0.05,0.45
L00514,B,634619.73,1,Real Estate,UK,Yes,0.05,0.45
L00515,AAA,394181.53,2,Healthcare,UK,No,0.0003,0.75
L00516,AAA,914955.15,7,Finance,USA,Yes,0.0003,0.45
L00517,BBB,226544.6,4,Real Estate,France,No,0.005,0.75
L00518,B,625595.52,10,Healthcare,China,Yes,0.05,0.45
L00519,CCC,326788.87,5,Energy,France,No,0.2,0.75
L00520,A,1045168.79,7,Manufacturing,Brazil,Yes,0.002,0.45
L00521,BBB,1198112.16,3,Real Estate,Italy,No,0.005,0.75
L00522,BBB,301544.15,10,Energy,France,Yes,0.005,0.45
L00523,CCC,336119.3,2,Manufacturing,UK,No,0.2,0.75
L00524,B,679963.19,7,Retail,China,Yes,0.05,0.45
L00525,B,364555.72,5,Energy,France,Yes,0.05,0.45
L00526,BBB,432481.31,1,Transport,China,No,0.005,0.75
L00527,BBB,448065.28,1,Healthcare,Italy,Yes,0.005,0.45
L00528,A,169424.63,9,Manufacturing,UK,Yes,0.002,0.45
L00529,AA,439362.95,5,Real Estate,China,Yes,0.0006,0.45
L00530,B,313368.82,1,Finance,France,Yes,0.05,0.45
L00531,B,345738.71,7,Real Estate,UK,Yes,0.05,0.45
L00532,CCC,910560.84,9,Transport,USA,Yes,0.2,0.45
L00533,CCC,236037.64,1,Healthcare,USA,Yes,0.2,0.45
L00534,BBB,664375.38,10,Transport,Brazil,No,0.005,0.75
L00535,BB,384815.21,4,Real Estate,USA,Yes,0.018,0.45
L00536,B,384661.85,3,Healthcare,France,Yes,0.05,0.45
L00537,B,656833.57,5,Finance,Italy,No,0.05,0.75
L00538,A,524408.19,7,Manufacturing,UK,No,0.002,0.75
L00539,BBB,588484.87,8,Healthcare,China,Yes,0.005,0.45
L00540,AA,717904.86,2,Energy,Germany,Yes,0.0006,0.45
L00541,CCC,374874.21,7,Healthcare,USA,No,0.2,0.75
L00542,BB,325748.74,1,Transport,USA,Yes,0.018,0.45
L00543,A,257152.54,7,Transport,Germany,Yes,0.002,0.45
L00544,BB,292814.54,8,Transport,China,Yes,0.018,0.45
L00545,BB,1932929.36,2,Finance,China,No,0.018,0.75
L00546,BBB,824341.19,9,Healthcare,Germany,Yes,0.005,0.45
L00547,AA,225136.65,1,Healthcare,China,No,0.0006,0.75
L00548,BB,228381.1,6,Retail,France,No,0.018,0.75
L00549,BBB,562942.65,1,Finance,China,Yes,0.005,0.45
L00550,BB,581654.79,3,Manufacturing,UK,No,0.018,0.75
L00551,BBB,582125.84,6,Manufacturing,China,Yes,0.005,0.45
L00552,B,389462.2,3,Manufacturing,USA,Yes,0.05,0.45
L00553,BBB,415514.53,8,Manufacturing,Italy,Yes,0.005,0.45
L00554,BBB,521226.39,5,Manufacturing,France,Yes,0.005,0.45
L00555,B,461827.4,2,Real Estate,France,Yes,0.05,0.45
L00556,BBB,145852.31,4,Transport,China,Yes,0.005,0.45
L00557,AA,394391.83,9,Finance,Italy,Yes,0.0006,0.45
L00558,AAA,289033.18,4,Real Estate,Italy,Yes,0.0003,0.45
L00559,BB,482919.72,10,Finance,Brazil,Yes,0.018,0.45
L00560,BB,1968199.06,10,Retail,Italy,No,0.018,0.75
L00561,BB,531650.09,8,Healthcare,China,Yes,0.018,0.45
L00562,A,378221.45,5,Energy,China,No,0.002,0.75
L00563,AA,701447.09,10,Transport,Germany,Yes,0.0006,0.45
L00564,AAA,563174.01,1,Retail,USA,Yes,0.0003,0.45
L00565,BBB,545821.48,7,Real Estate,Brazil,Yes,0.005,0.45
L00566,BBB,599244.69,3,Energy,China,Yes,0.005,0.45
L00567,BBB,1237089.23,10,Healthcare,Germany,Yes,0.005,0.45
L00568,BBB,251338.47,8,Retail,Brazil,Yes,0.005,0.45
L00569,B,560629.78,3,Healthcare,USA,No,0.05,0.75
L00570,A,278398.67,1,Healthcare,Brazil,No,0.002,0.75
L00571,BBB,584058.44,5,Finance,Germany,Yes,0.005,0.45
L00572,BB,279471.82,2,Energy,UK,No,0.018,0.75
L00573,BBB,359085.78,4,Finance,China,Yes,0.005,0.45
L00574,BB,381724.74,1,Healthcare,USA,Yes,0.018,0.45
L00575,B,720649.64,9,Retail,France,No,0.05,0.75
L00576,B,700274.18,6,Healthcare,USA,Yes,0.05,0.45
L00577,AA,237314.44,8,Real Estate,USA,Yes,0.0006,0.45
L00578,B,454733.61,4,Healthcare,USA,Yes,0.05,0.45
L00579,BBB,310273.69,9,Finance,UK,Yes,0.005,0.45
L00580,A,235801.95,2,Energy,China,Yes,0.002,0.45
L00581,BBB,396920.57,9,Retail,Germany,Yes,0.005,0.45
L00582,CCC,379177.08,5,Finance,China,Yes,0.2,0.45
L00583,BBB,1488617.27,6,Healthcare,France,Yes,0.005,0.45
L00584,A,549343.89,3,Real Estate,Germany,No,0.002,0.75
L00585,BB,222168.47,4,Transport,Brazil,Yes,0.018,0.45
L00586,A,333571.66,6,Real Estate,Brazil,No,0.002,0.75
L00587,AA,737256.87,7,Healthcare,Brazil,No,0.0006,0.75
L00588,AA,1256978.5,1,Real Estate,Germany,No,0.0006,0.75
L00589,AA,200187.23,7,Transport,Italy,No,0.0006,0.75
L00590,A,172825.52,1,Real Estate,UK,Yes,0.002,0.45
L00591,AA,1127465.32,5,Transport,Italy,Yes,0.0006,0.45
L00592,BB,537566.14,6,Healthcare,China,Yes,0.018,0.45
L00593,A,286603.11,2,Transport,Brazil,No,0.002,0.75
L00594,A,577991.56,10,Finance,UK,Yes,0.002,0.45
L00595,B,118435.78,9,Finance,Germany,Yes,0.05,0.45
L00596,BBB,443160.71,10,Transport,Brazil,Yes,0.005,0.45
L00597,BB,521211.19,6,Retail,Germany,No,0.018,0.75
L00598,A,702313.43,7,Energy,UK,Yes,0.002,0.45
L00599,A,266479.35,10,Retail,Germany,Yes,0.002,0.45
L00600,AAA,461779.87,8,Transport,Germany,Yes,0.0003,0.45
L00601,A,278531.85,10,Energy,France,No,0.002,0.75
L00602,A,502671.36,1,Finance,China,Yes,0.002,0.45
L00603,A,282752.39,8,Energy,Italy,Yes,0.002,0.45
L00604,AA,360753.28,4,Transport,Italy,No,0.0006,0.75
L00605,AA,268899.32,10,Finance,Italy,Yes,0.0006,0.45
L00606,BBB,612661.66,8,Energy,USA,No,0.005,0.75
L00607,A,679576.82,6,Energy,France,Yes,0.002,0.45
L00608,BBB,393442.3,9,Retail,Brazil,Yes,0.005,0.45
L00609,BBB,450953.27,4,Energy,Brazil,No,0.005,0.75
L00610,BB,214422.64,2,Healthcare,Brazil,No,0.018,0.75
L00611,AAA,380850.3,2,Transport,Italy,Yes,0.0003,0.45
L00612,BB,431446.02,5,Manufacturing,China,Yes,0.018,0.45
L00613,BB,1640311.21,10,Manufacturing,Italy,No,0.018,0.75
L00614,AA,253727.59,9,Manufacturing,China,Yes,0.0006,0.45
L00615,B,919962.9,3,Transport,France,No,0.05,0.75
L00616,B,728271.64,8,Manufacturing,China,No,0.05,0.75
L00617,AA,509058.49,4,Retail,Germany,Yes,0.0006,0.45
L00618,A,1065878.86,6,Transport,Italy,No,0.002,0.75
L00619,B,532880.64,10,Healthcare,Brazil,Yes,0.05,0.45
L00620,BB,537443.87,6,Finance,Germany,No,0.018,0.75
L00621,A,430817.43,3,Healthcare,Italy,Yes,0.002,0.45
L00622,A,815685.74,5,Transport,UK,No,0.002,0.75
L00623,BBB,765461.82,3,Transport,USA,No,0.005,0.75
L00624,BBB,323566.96,1,Energy,Italy,No,0.005,0.75
L00625,BB,228748.04,7,Energy,UK,No,0.018,0.75
L00626,BBB,399716.04,4,Energy,France,Yes,0.005,0.45
L00627,BBB,296552.85,7,Real Estate,UK,Yes,0.005,0.45
L00628,BB,428582.15,3,Retail,France,No,0.018,0.75
L00629,AAA,821361.88,5,Transport,Italy,No,0.0003,0.75
L00630,A,351986.88,5,Healthcare,France,No,0.002,0.75
L00631,BB,433041.27,2,Transport,UK,No,0.018,0.75
L00632,B,455436.4,10,Energy,China,Yes,0.05,0.45
L00633,BBB,676180.57,2,Transport,USA,Yes,0.005,0.45
L00634,BBB,143854.17,4,Finance,Germany,Yes,0.005,0.45
L00635,AA,326651.74,4,Transport,Germany,No,0.0006,0.75
L00636,BBB,491708.75,4,Healthcare,USA,Yes,0.005,0.45
L00637,BBB,806161.58,6,Manufacturing,Brazil,No,0.005,0.75
L00638,A,345949.74,2,Finance,Germany,Yes,0.002,0.45
L00639,A,173117.12,6,Finance,Italy,Yes,0.002,0.45
L00640,BBB,603110.51,7,Transport,Brazil,Yes,0.005,0.45
L00641,AAA,322003.86,10,Real Estate,Italy,Yes,0.0003,0.45
L00642,A,244059.34,3,Energy,UK,No,0.002,0.75
L00643,A,323782.51,8,Retail,UK,Yes,0.002,0.45
L00644,A,403421.55,2,Retail,Brazil,Yes,0.002,0.45
L00645,AA,326971.3,8,Manufacturing,Brazil,Yes,0.0006,0.45
L00646,B,146857.35,5,Retail,Brazil,No,0.05,0.75
L00647,BBB,692825.26,2,Retail,Brazil,No,0.005,0.75
L00648,BB,836881.3,7,Energy,France,Yes,0.018,0.45
L00649,BB,612779.84,2,Energy,China,No,0.018,0.75
L00650,BBB,250485.71,6,Real Estate,Brazil,Yes,0.005,0.45
L00651,AA,400013.76,10,Healthcare,China,Yes,0.0006,0.45
L00652,BBB,440973.18,3,Manufacturing,Brazil,No,0.005,0.75
L00653,BBB,596835.73,9,Retail,UK,Yes,0.005,0.45
L00654,BB,617954.58,3,Real Estate,Italy,No,0.018,0.75
L00655,BBB,306481.63,3,Manufacturing,China,Yes,0.005,0.45
L00656,AA,460928.3,5,Finance,UK,No,0.0006,0.75
L00657,A,556064.85,7,Retail,Germany,Yes,0.002,0.45
L00658,BBB,916127.81,8,Retail,France,Yes,0.005,0.45
L00659,BB,629230.72,7,Energy,France,No,0.018,0.75
L00660,BBB,656401.78,9,Transport,Italy,Yes,0.005,0.45
L00661,BBB,461350.49,5,Manufacturing,Brazil,Yes,0.005,0.45
L00662,CCC,895582.45,10,Retail,UK,Yes,0.2,0.45
L00663,BB,543009.12,3,Manufacturing,Germany,Yes,0.018,0.45
L00664,A,287637.43,6,Healthcare,UK,Yes,0.002,0.45
L00665,AA,892413.6,5,Real Estate,Brazil,Yes,0.0006,0.45
L00666,A,627156.65,4,Real Estate,Brazil,No,0.002,0.75
L00667,A,354505.09,2,Transport,USA,Yes,0.002,0.45
L00668,A,348102.94,7,Retail,UK,No,0.002,0.75
L00669,A,513131.68,5,Healthcare,Italy,Yes,0.002,0.45
L00670,A,557708.89,4,Energy,UK,Yes,0.002,0.45
L00671,A,488280.9,8,Retail,France,Yes,0.002,0.45
L00672,B,516925.65,9,Manufacturing,Germany,Yes,0.05,0.45
L00673,AA,1035069.04,9,Finance,China,Yes,0.0006,0.45
L00674,BBB,755981.04,3,Real Estate,Italy,Yes,0.005,0.45
L00675,BBB,486658.44,3,Manufacturing,USA,Yes,0.005,0.45
L00676,CCC,708322.86,5,Transport,Germany,Yes,0.2,0.45
L00677,AA,264008.89,5,Real Estate,Germany,Yes,0.0006,0.45
L00678,BBB,539805.15,10,Energy,China,Yes,0.005,0.45
L00679,CCC,1093236.56,2,Real Estate,France,No,0.2,0.75
L00680,B,396716.44,1,Finance,France,Yes,0.05,0.45
L00681,B,289578.89,8,Healthcare,France,Yes,0.05,0.45
L00682,A,319322.09,3,Retail,Italy,Yes,0.002,0.45
L00683,A,256576.84,1,Finance,UK,Yes,0.002,0.45
L00684,BB,298826.69,1,Healthcare,Germany,Yes,0.018,0.45
L00685,B,367598.27,2,Finance,UK,No,0.05,0.75
L00686,BBB,219085.31,6,Retail,UK,No,0.005,0.75
L00687,BBB,445881.8,6,Real Estate,France,No,0.005,0.75
L00688,A,694632.76,3,Transport,UK,No,0.002,0.75
L00689,BB,281003.36,4,Retail,Germany,Yes,0.018,0.45
L00690,A,945663.39,2,Retail,Germany,Yes,0.002,0.45
L00691,A,571143.66,2,Healthcare,Brazil,No,0.002,0.75
L00692,BBB,740655.06,7,Energy,USA,Yes,0.005,0.45
L00693,BBB,318406.05,1,Real Estate,Italy,Yes,0.005,0.45
L00694,A,678244.16,7,Retail,UK,No,0.002,0.75
L00695,AA,256281.84,1,Transport,Italy,No,0.0006,0.75
L00696,BB,690467.2,6,Manufacturing,Italy,Yes,0.018,0.45
L00697,A,482106.19,3,Real Estate,Italy,Yes,0.002,0.45
L00698,BBB,583398.41,8,Energy,China,No,0.005,0.75
L00699,A,245782.6,6,Finance,Brazil,No,0.002,0.75
L00700,BBB,282791.48,2,Retail,Italy,No,0.005,0.75
L00701,BBB,596368.54,8,Transport,Brazil,No,0.005,0.75
L00702,AA,275357.63,5,Real Estate,Germany,Yes,0.0006,0.45
L00703,A,557714.88,8,Transport,China,Yes,0.002,0.45
L00704,AA,223335.65,8,Transport,UK,Yes,0.0006,0.45
L00705,AA,676093.8,6,Healthcare,Brazil,Yes,0.0006,0.45
L00706,CCC,238885.19,2,Finance,USA,No,0.2,0.75
L00707,A,583120.99,8,Energy,Italy,No,0.002,0.75
L00708,B,604898.21,6,Real Estate,China,Yes,0.05,0.45
L00709,A,312267.07,6,Retail,USA,Yes,0.002,0.45
L00710,BB,591852.83,8,Energy,Germany,Yes,0.018,0.45
L00711,BB,503944.35,1,Retail,Germany,No,0.018,0.75
L00712,BBB,337924.94,2,Manufacturing,France,Yes,0.005,0.45
L00713,BBB,267191.97,9,Transport,Italy,Yes,0.005,0.45
L00714,BBB,165824.81,8,Manufacturing,France,Yes,0.005,0.45
L00715,A,526931.07,7,Healthcare,China,Yes,0.002,0.45
L00716,B,202318.53,7,Transport,USA,No,0.05,0.75
L00717,B,464014.97,5,Finance,UK,Yes,0.05,0.45
L00718,CCC,387811.97,2,Energy,France,Yes,0.2,0.45
L00719,AA,621301.27,6,Retail,Germany,Yes,0.0006,0.45
L00720,BB,380399.48,10,Healthcare,Italy,Yes,0.018,0.45
L00721,B,375223.12,3,Finance,USA,No,0.05,0.75
L00722,A,637899.07,4,Retail,Brazil,Yes,0.002,0.45
L00723,AA,523100.57,10,Energy,China,Yes,0.0006,0.45
L00724,BB,518180.01,2,Real Estate,China,No,0.018,0.75
L00725,BBB,559407.68,2,Healthcare,Germany,Yes,0.005,0.45
L00726,B,205297.19,8,Manufacturing,Brazil,No,0.05,0.75
L00727,AA,645896.36,8,Manufacturing,China,Yes,0.0006,0.45
L00728,BB,600930.4,10,Retail,UK,Yes,0.018,0.45
L00729,A,266108.24,6,Retail,Italy,No,0.002,0.75
L00730,A,391585.74,5,Retail,UK,No,0.002,0.75
L00731,A,433803.24,8,Healthcare,China,Yes,0.002,0.45
L00732,B,413640.12,4,Energy,UK,Yes,0.05,0.45
L00733,BB,522787.31,4,Real Estate,China,Yes,0.018,0.45
L00734,BBB,904993.82,5,Manufacturing,Italy,Yes,0.005,0.45
L00735,BBB,759855.35,1,Finance,Italy,Yes,0.005,0.45
L00736,B,229553.27,1,Transport,Brazil,No,0.05,0.75
L00737,BBB,603822.16,2,Healthcare,UK,Yes,0.005,0.45
L00738,B,859809.95,8,Healthcare,USA,Yes,0.05,0.45
L00739,BBB,536812.56,7,Energy,Brazil,Yes,0.005,0.45
L00740,BBB,763363.96,10,Manufacturing,Italy,Yes,0.005,0.45
L00741,BBB,1210005.21,9,Real Estate,Germany,No,0.005,0.75
L00742,A,738114.89,5,Energy,China,Yes,0.002,0.45
L00743,BB,501146.77,2,Finance,Brazil,Yes,0.018,0.45
L00744,BBB,746047.27,7,Manufacturing,France,No,0.005,0.75
L00745,A,475653.02,8,Energy,USA,Yes,0.002,0.45
L00746,B,447732.63,7,Manufacturing,China,Yes,0.05,0.45
L00747,BBB,371124.51,7,Manufacturing,Brazil,Yes,0.005,0.45
L00748,BBB,966761.09,5,Healthcare,Italy,No,0.005,0.75
L00749,B,293838.53,2,Real Estate,Italy,No,0.05,0.75
L00750,BB,951870.11,6,Healthcare,USA,Yes,0.018,0.45
L00751,AA,568031.45,4,Transport,France,Yes,0.0006,0.45
L00752,B,219772.22,10,Real Estate,Brazil,No,0.05,0.75
L00753,BB,531694.65,2,Manufacturing,Brazil,Yes,0.018,0.45
L00754,A,154815.09,9,Energy,UK,Yes,0.002,0.45
L00755,AA,604861.03,7,Finance,Germany,No,0.0006,0.75
L00756,BB,688737.67,6,Real Estate,Italy,Yes,0.018,0.45
L00757,BB,329002.96,5,Transport,Brazil,Yes,0.018,0.45
L00758,BBB,470604.75,3,Manufacturing,Brazil,No,0.005,0.75
L00759,B,1175352.57,10,Finance,China,Yes,0.05,0.45
L00760,BB,343563.3,10,Real Estate,China,Yes,0.018,0.45
L00761,A,260549.0,4,Healthcare,Brazil,Yes,0.002,0.45
L00762,A,928041.47,3,Healthcare,France,Yes,0.002,0.45
L00763,A,1180316.99,8,Real Estate,Germany,Yes,0.002,0.45
L00764,BB,443231.66,3,Real Estate,Brazil,Yes,0.018,0.45
L00765,AAA,733609.04,7,Real Estate,USA,No,0.0003,0.75
L00766,BBB,865219.02,7,Finance,Italy,No,0.005,0.75
L00767,BB,305210.78,7,Healthcare,UK,Yes,0.018,0.45
L00768,B,347092.67,7,Energy,China,No,0.05,0.75
L00769,A,818670.74,2,Transport,USA,No,0.002,0.75
L00770,B,1027364.29,10,Transport,Italy,No,0.05,0.75
L00771,AA,586214.14,3,Manufacturing,China,Yes,0.0006,0.45
L00772,B,284956.79,10,Retail,France,No,0.05,0.75
L00773,AA,1194849.22,9,Energy,China,Yes,0.0006,0.45
L00774,BBB,339257.45,3,Healthcare,Germany,Yes,0.005,0.45
L00775,BB,374157.13,2,Manufacturing,Germany,Yes,0.018,0.45
L00776,AA,525008.07,9,Manufacturing,Italy,No,0.0006,0.75
L00777,A,962298.73,10,Real Estate,USA,Yes,0.002,0.45
L00778,BB,678057.92,9,Retail,UK,Yes,0.018,0.45
L00779,BB,544396.3,4,Healthcare,France,No,0.018,0.75
L00780,BB,557737.81,9,Retail,Italy,No,0.018,0.75
L00781,BB,452144.61,3,Energy,France,No,0.018,0.75
L00782,BBB,584826.07,7,Retail,Germany,Yes,0.005,0.45
L00783,A,124893.91,7,Manufacturing,Brazil,Yes,0.002,0.45
L00784,A,381435.2,8,Retail,Brazil,No,0.002,0.75
L00785,A,499149.52,10,Retail,UK,Yes,0.002,0.45
L00786,B,248821.97,4,Transport,France,No,0.05,0.75
L00787,BBB,536682.34,3,Healthcare,Italy,Yes,0.005,0.45
L00788,BBB,399418.25,3,Healthcare,UK,No,0.005,0.75
L00789,BBB,1064204.2,5,Manufacturing,China,Yes,0.005,0.45
L00790,B,971415.79,1,Finance,China,Yes,0.05,0.45
L00791,A,350493.42,10,Retail,USA,No,0.002,0.75
L00792,BBB,410274.26,3,Retail,Brazil,Yes,0.005,0.45
L00793,BBB,426354.41,6,Real Estate,Italy,Yes,0.005,0.45
L00794,BB,352981.27,3,Healthcare,France,No,0.018,0.75
L00795,AAA,487727.68,5,Retail,UK,Yes,0.0003,0.45
L00796,B,302809.44,9,Healthcare,Italy,Yes,0.05,0.45
L00797,B,251372.79,2,Retail,UK,Yes,0.05,0.45
L00798,BBB,604015.79,2,Transport,UK,Yes,0.005,0.45
L00799,BB,606078.5,6,Manufacturing,UK,Yes,0.018,0.45
L00800,B,295919.32,6,Healthcare,France,No,0.05,0.75
L00801,BB,692232.88,8,Energy,Italy,No,0.018,0.75
L00802,A,322613.77,2,Manufacturing,Germany,Yes,0.002,0.45
L00803,BBB,502114.08,9,Real Estate,Germany,Yes,0.005,0.45
L00804,BB,666751.04,2,Manufacturing,France,No,0.018,0.75
L00805,BBB,435040.2,1,Retail,China,No,0.005,0.75
L00806,BB,555359.24,10,Real Estate,France,Yes,0.018,0.45
L00807,B,341733.06,2,Manufacturing,Brazil,No,0.05,0.75
L00808,B,401020.05,7,Real Estate,UK,No,0.05,0.75
L00809,BBB,399141.11,8,Energy,Italy,Yes,0.005,0.45
L00810,AA,304586.63,5,Manufacturing,Italy,Yes,0.0006,0.45
L00811,CCC,404988.08,6,Healthcare,USA,Yes,0.2,0.45
L00812,B,203962.38,1,Healthcare,USA,No,0.05,0.75
L00813,AA,346079.27,6,Finance,Germany,No,0.0006,0.75
L00814,B,383679.27,8,Retail,USA,No,0.05,0.75
L00815,B,389223.93,3,Real Estate,USA,Yes,0.05,0.45
L00816,BBB,392091.8,1,Finance,Germany,No,0.005,0.75
L00817,BBB,428959.55,4,Finance,Brazil,No,0.005,0.75
L00818,BBB,562260.62,1,Transport,China,No,0.005,0.75
L00819,AA,685057.83,8,Real Estate,Germany,Yes,0.0006,0.45
L00820,A,319693.3,5,Finance,China,No,0.002,0.75
L00821,B,242413.34,1,Transport,USA,Yes,0.05,0.45
L00822,AAA,262755.13,8,Finance,Italy,No,0.0003,0.75
L00823,A,346763.59,9,Retail,USA,No,0.002,0.75
L00824,BBB,371030.42,10,Energy,UK,Yes,0.005,0.45
L00825,BBB,301041.07,2,Transport,China,No,0.005,0.75
